,County,Total_employment_titlea,Total_Broad_Age_Groups_slash_County,Total_Broad_Age_Groups_slash_County_original,Total_Total,Total_Working_and_Seeking_Work_slash_No_Work_Available,Total_Working,Total_Seeking_Work_slash_No_Work_Available,Total_Persons_outside_the_Labour_Force,Total_Not_Stated,5to14_employment_titlea,5to14_Broad_Age_Groups_slash_County,5to14_Broad_Age_Groups_slash_County_original,5to14_Total,5to14_Working_and_Seeking_Work_slash_No_Work_Available,5to14_Working,5to14_Seeking_Work_slash_No_Work_Available,5to14_Persons_outside_the_Labour_Force,5to14_Not_Stated,15to17_employment_titlea,15to17_Broad_Age_Groups_slash_County,15to17_Broad_Age_Groups_slash_County_original,15to17_Total,15to17_Working_and_Seeking_Work_slash_No_Work_Available,15to17_Working,15to17_Seeking_Work_slash_No_Work_Available,15to17_Persons_outside_the_Labour_Force,15to17_Not_Stated,18to24_employment_titlea,18to24_Broad_Age_Groups_slash_County,18to24_Broad_Age_Groups_slash_County_original,18to24_Total,18to24_Working_and_Seeking_Work_slash_No_Work_Available,18to24_Working,18to24_Seeking_Work_slash_No_Work_Available,18to24_Persons_outside_the_Labour_Force,18to24_Not_Stated,25to34_employment_titlea,25to34_Broad_Age_Groups_slash_County,25to34_Broad_Age_Groups_slash_County_original,25to34_Total,25to34_Working_and_Seeking_Work_slash_No_Work_Available,25to34_Working,25to34_Seeking_Work_slash_No_Work_Available,25to34_Persons_outside_the_Labour_Force,25to34_Not_Stated,35to64_employment_titlea,35to64_Broad_Age_Groups_slash_County,35to64_Broad_Age_Groups_slash_County_original,35to64_Total,35to64_Working_and_Seeking_Work_slash_No_Work_Available,35to64_Working,35to64_Seeking_Work_slash_No_Work_Available,35to64_Persons_outside_the_Labour_Force,35to64_Not_Stated,65plus_employment_titlea,65plus_Broad_Age_Groups_slash_County,65plus_Broad_Age_Groups_slash_County_original,65plus_Total,65plus_Working_and_Seeking_Work_slash_No_Work_Available,65plus_Working,65plus_Seeking_Work_slash_No_Work_Available,65plus_Persons_outside_the_Labour_Force,65plus_Not_Stated,NotStated_employment_titlea,NotStated_Broad_Age_Groups_slash_County,NotStated_Broad_Age_Groups_slash_County_original,NotStated_Total,NotStated_Working_and_Seeking_Work_slash_No_Work_Available,NotStated_Working,NotStated_Seeking_Work_slash_No_Work_Available,NotStated_Persons_outside_the_Labour_Force,NotStated_Not_Stated
22,KIAMBU,KIAMBU,Total,KIAMBU,"2,125,316","1,116,365 165,846","1,116,365","165,846","842,577",528,KIAMBU,5 - 14,5 - 14,"467,075","4,258 -","4,258",-,"462,748",69,KIAMBU,15 - 17,15 - 17,"126,170","6,333 1,815","6,333","1,815","117,999",23,KIAMBU,18 - 24,18 - 24,"348,011","160,897 46,146","160,897","46,146","140,871",97,KIAMBU,25 - 34,25 - 34,"480,432","360,020 62,922","360,020","62,922","57,359",131,KIAMBU,35 - 64,35 - 64,"617,872","519,386 53,077","519,386","53,077","45,267",142,KIAMBU,65 +,65 +,"85,720","65,471 1,886","65,471","1,886","18,333",30,KIAMBU,Not Stated,Not Stated,36,- -,-,-,-,36
23,TURKANA,TURKANA,Total,TURKANA,"791,011","327,808 145,174","327,808","145,174","317,342",687,TURKANA,5 - 14,5 - 14,"286,631","98,817 -","98,817",-,"187,570",244,TURKANA,15 - 17,15 - 17,"76,261","27,129 17,200","27,129","17,200","31,856",76,TURKANA,18 - 24,18 - 24,"136,237","53,695 39,418","53,695","39,418","43,010",114,TURKANA,25 - 34,25 - 34,"131,835","63,619 43,558","63,619","43,558","24,555",103,TURKANA,35 - 64,35 - 64,"136,885","72,757 40,532","72,757","40,532","23,467",129,TURKANA,65 +,65 +,"23,159","11,791 4,466","11,791","4,466","6,884",18,TURKANA,Not Stated,Not Stated,3,- -,-,-,-,3
24,WEST POKOT,WEST POKOT,Total,WEST POKOT,"505,029","241,125 19,661","241,125","19,661","244,145",98,WEST POKOT,5 - 14,5 - 14,"203,229","45,982 -","45,982",-,"157,209",38,WEST POKOT,15 - 17,15 - 17,"44,222","9,231 1,161","9,231","1,161","33,822",8,WEST POKOT,18 - 24,18 - 24,"76,499","37,766 4,709","37,766","4,709","34,016",8,WEST POKOT,25 - 34,25 - 34,"76,936","60,444 6,967","60,444","6,967","9,506",19,WEST POKOT,35 - 64,35 - 64,"86,336","73,186 6,024","73,186","6,024","7,107",19,WEST POKOT,65 +,65 +,"17,804","14,516 800","14,516",800,"2,485",3,WEST POKOT,Not Stated,Not Stated,3,- -,-,-,-,3
25,SAMBURU,SAMBURU,Total,SAMBURU,"257,368","144,384 14,181","144,384","14,181","98,776",27,SAMBURU,5 - 14,5 - 14,"100,775","38,566 -","38,566",-,"62,199",10,SAMBURU,15 - 17,15 - 17,"23,046","9,004 1,300","9,004","1,300","12,739",3,SAMBURU,18 - 24,18 - 24,"41,675","24,854 3,992","24,854","3,992","12,828",1,SAMBURU,25 - 34,25 - 34,"39,685","30,594 4,263","30,594","4,263","4,824",4,SAMBURU,35 - 64,35 - 64,"42,945","34,425 4,063","34,425","4,063","4,452",5,SAMBURU,65 +,65 +,"9,240","6,941 563","6,941",563,"1,734",2,SAMBURU,Not Stated,Not Stated,2,- -,-,-,-,2
26,TRANS NZOIA,TRANS NZOIA,Total,TRANS NZOIA,"856,006","360,674 38,655","360,674","38,655","456,613",64,TRANS NZOIA,5 - 14,5 - 14,"291,222","9,780 -","9,780",-,"281,427",15,TRANS NZOIA,15 - 17,15 - 17,"81,024","5,861 956","5,861",956,"74,205",2,TRANS NZOIA,18 - 24,18 - 24,"127,311","54,509 9,268","54,509","9,268","63,521",13,TRANS NZOIA,25 - 34,25 - 34,"131,346","99,880 14,263","99,880","14,263","17,194",9,TRANS NZOIA,35 - 64,35 - 64,"190,817","162,191 13,162","162,191","13,162","15,448",16,TRANS NZOIA,65 +,65 +,"34,282","28,453 1,006","28,453","1,006","4,818",5,TRANS NZOIA,Not Stated,Not Stated,4,- -,-,-,-,4
27,UASIN GISHU,UASIN GISHU,Total,UASIN GISHU,"1,012,918","451,826 65,879","451,826","65,879","495,077",136,UASIN GISHU,5 - 14,5 - 14,"286,060","4,361 -","4,361",-,"281,679",20,UASIN GISHU,15 - 17,15 - 17,"82,270","3,896 855","3,896",855,"77,508",11,UASIN GISHU,18 - 24,18 - 24,"174,786","69,096 17,218","69,096","17,218","88,454",18,UASIN GISHU,25 - 34,25 - 34,"196,801","142,357 28,243","142,357","28,243","26,170",31,UASIN GISHU,35 - 64,35 - 64,"238,637","202,631 18,662","202,631","18,662","17,307",37,UASIN GISHU,65 +,65 +,"34,353","29,485 901","29,485",901,"3,959",8,UASIN GISHU,Not Stated,Not Stated,11,- -,-,-,-,11
28,ELGEYO/MARAKWET,ELGEYO/MARAKWET,Total,ELGEYO/MARAKWET,"392,505","172,899 15,407","172,899","15,407","204,139",60,ELGEYO/MARAKWET,5 - 14,5 - 14,"130,209","4,162 -","4,162",-,"126,029",18,ELGEYO/MARAKWET,15 - 17,15 - 17,"35,643","2,684 306","2,684",306,"32,652",1,ELGEYO/MARAKWET,18 - 24,18 - 24,"62,140","28,457 3,931","28,457","3,931","29,740",12,ELGEYO/MARAKWET,25 - 34,25 - 34,"61,557","49,081 6,055","49,081","6,055","6,414",7,ELGEYO/MARAKWET,35 - 64,35 - 64,"83,764","73,018 4,631","73,018","4,631","6,099",16,ELGEYO/MARAKWET,65 +,65 +,"19,191","15,497 484","15,497",484,"3,205",5,ELGEYO/MARAKWET,Not Stated,Not Stated,1,- -,-,-,-,1
29,NANDI,NANDI,Total,NANDI,"777,779","366,657 25,493","366,657","25,493","385,549",80,NANDI,5 - 14,5 - 14,"242,079","5,954 -","5,954",-,"236,105",20,NANDI,15 - 17,15 - 17,"69,716","4,068 416","4,068",416,"65,224",8,NANDI,18 - 24,18 - 24,"118,772","51,713 6,197","51,713","6,197","60,851",11,NANDI,25 - 34,25 - 34,"129,946","107,926 10,378","107,926","10,378","11,631",11,NANDI,35 - 64,35 - 64,"181,376","164,935 7,924","164,935","7,924","8,493",24,NANDI,65 +,65 +,"35,888","32,061 578","32,061",578,"3,245",4,NANDI,Not Stated,Not Stated,2,- -,-,-,-,2
30,BARINGO,BARINGO,Total,BARINGO,"567,970","273,503 28,604","273,503","28,604","265,820",43,BARINGO,5 - 14,5 - 14,"200,603","33,289 -","33,289",-,"167,302",12,BARINGO,15 - 17,15 - 17,"52,610","9,685 1,630","9,685","1,630","41,293",2,BARINGO,18 - 24,18 - 24,"89,419","45,237 8,182","45,237","8,182","35,995",5,BARINGO,25 - 34,25 - 34,"86,059","66,535 10,104","66,535","10,104","9,410",10,BARINGO,35 - 64,35 - 64,"113,679","97,729 7,919","97,729","7,919","8,022",9,BARINGO,65 +,65 +,"25,599","21,028 769","21,028",769,"3,798",4,BARINGO,Not Stated,Not Stated,1,- -,-,-,-,1
31,LAIKIPIA,LAIKIPIA,Total,LAIKIPIA,"448,546","239,295 21,564","239,295","21,564","187,649",38,LAIKIPIA,5 - 14,5 - 14,"129,131","10,985 -","10,985",-,"118,139",7,LAIKIPIA,15 - 17,15 - 17,"36,222","4,236 647","4,236",647,"31,339",-,LAIKIPIA,18 - 24,18 - 24,"62,901","32,613 5,707","32,613","5,707","24,576",5,LAIKIPIA,25 - 34,25 - 34,"73,066","60,165 7,316","60,165","7,316","5,579",6,LAIKIPIA,35 - 64,35 - 64,"122,146","109,321 7,435","109,321","7,435","5,380",10,LAIKIPIA,65 +,65 +,"25,077","21,975 459","21,975",459,"2,636",7,LAIKIPIA,Not Stated,Not Stated,3,- -,-,-,-,3
32,NAKURU,NAKURU,Total,NAKURU,"1,870,222","909,666 94,842","909,666","94,842","865,402",312,NAKURU,5 - 14,5 - 14,"539,423","12,687 -","12,687",-,"526,679",57,NAKURU,15 - 17,15 - 17,"148,296","11,437 1,780","11,437","1,780","135,042",37,NAKURU,18 - 24,18 - 24,"295,500","139,455 27,243","139,455","27,243","128,749",53,NAKURU,25 - 34,25 - 34,"346,839","274,558 35,588","274,558","35,588","36,647",46,NAKURU,35 - 64,35 - 64,"467,225","410,068 28,876","410,068","28,876","28,202",79,NAKURU,65 +,65 +,"72,911","61,461 1,355","61,461","1,355","10,083",12,NAKURU,Not Stated,Not Stated,28,- -,-,-,-,28
33,NAROK,NAROK,Total,NAROK,"961,649","464,247 23,739","464,247","23,739","473,475",188,NAROK,5 - 14,5 - 14,"378,059","48,246 -","48,246",-,"329,768",45,NAROK,15 - 17,15 - 17,"80,930","13,455 1,055","13,455","1,055","66,408",12,NAROK,18 - 24,18 - 24,"142,832","84,271 6,283","84,271","6,283","52,252",26,NAROK,25 - 34,25 - 34,"153,581","132,408 8,594","132,408","8,594","12,542",37,NAROK,35 - 64,35 - 64,"178,505","161,704 7,241","161,704","7,241","9,504",56,NAROK,65 +,65 +,"27,735","24,163 566","24,163",566,"3,001",5,NAROK,Not Stated,Not Stated,7,- -,-,-,-,7
34,KAJIADO,KAJIADO,Total,KAJIADO,"951,420","452,921 79,919","452,921","79,919","418,261",319,KAJIADO,5 - 14,5 - 14,"273,292","20,668 -","20,668",-,"252,560",64,KAJIADO,15 - 17,15 - 17,"61,781","6,622 1,796","6,622","1,796","53,345",18,KAJIADO,18 - 24,18 - 24,"156,110","74,276 21,476","74,276","21,476","60,300",58,KAJIADO,25 - 34,25 - 34,"212,424","155,137 31,344","155,137","31,344","25,871",72,KAJIADO,35 - 64,35 - 64,"224,284","179,694 23,947","179,694","23,947","20,563",80,KAJIADO,65 +,65 +,"23,512","16,524 1,356","16,524","1,356","5,622",10,KAJIADO,Not Stated,Not Stated,17,- -,-,-,-,17
35,KERICHO,KERICHO,Total,KERICHO,"787,507","391,168 21,807","391,168","21,807","374,322",210,KERICHO,5 - 14,5 - 14,"244,952","6,564 -","6,564",-,"238,338",50,KERICHO,15 - 17,15 - 17,"68,385","5,456 397","5,456",397,"62,517",15,KERICHO,18 - 24,18 - 24,"123,103","62,199 6,269","62,199","6,269","54,612",23,KERICHO,25 - 34,25 - 34,"141,815","121,886 9,361","121,886","9,361","10,519",49,KERICHO,35 - 64,35 - 64,"176,273","164,864 5,439","164,864","5,439","5,918",52,KERICHO,65 +,65 +,"32,966","30,199 341","30,199",341,"2,418",8,KERICHO,Not Stated,Not Stated,13,- -,-,-,-,13
36,BOMET,BOMET,Total,BOMET,"762,274","362,007 16,249","362,007","16,249","383,946",72,BOMET,5 - 14,5 - 14,"253,691","5,838 -","5,838",-,"247,839",14,BOMET,15 - 17,15 - 17,"71,333","5,172 332","5,172",332,"65,820",9,BOMET,18 - 24,18 - 24,"119,220","59,234 4,876","59,234","4,876","55,099",11,BOMET,25 - 34,25 - 34,"128,309","112,525 7,011","112,525","7,011","8,765",8,BOMET,35 - 64,35 - 64,"158,008","149,701 3,801","149,701","3,801","4,483",23,BOMET,65 +,65 +,"31,710","29,537 229","29,537",229,"1,940",4,BOMET,Not Stated,Not Stated,3,- -,-,-,-,3
37,KAKAMEGA,KAKAMEGA,Total,KAKAMEGA,"1,635,814","736,602 49,344","736,602","49,344","849,497",371,KAKAMEGA,5 - 14,5 - 14,"559,971","19,573 -","19,573",-,"540,308",90,KAKAMEGA,15 - 17,15 - 17,"155,975","12,943 1,080","12,943","1,080","141,933",19,KAKAMEGA,18 - 24,18 - 24,"230,376","105,247 12,118","105,247","12,118","112,965",46,KAKAMEGA,25 - 34,25 - 34,"229,677","189,612 18,362","189,612","18,362","21,649",54,KAKAMEGA,35 - 64,35 - 64,"374,088","336,532 16,512","336,532","16,512","20,941",103,KAKAMEGA,65 +,65 +,"85,701","72,695 1,272","72,695","1,272","11,701",33,KAKAMEGA,Not Stated,Not Stated,26,- -,-,-,-,26
38,VIHIGA,VIHIGA,Total,VIHIGA,"522,668","250,123 15,154","250,123","15,154","257,299",92,VIHIGA,5 - 14,5 - 14,"165,508","3,852 -","3,852",-,"161,642",14,VIHIGA,15 - 17,15 - 17,"48,147","3,017 223","3,017",223,"44,896",11,VIHIGA,18 - 24,18 - 24,"68,016","30,226 3,511","30,226","3,511","34,272",7,VIHIGA,25 - 34,25 - 34,"65,459","54,091 5,504","54,091","5,504","5,849",15,VIHIGA,35 - 64,35 - 64,"131,435","119,425 5,506","119,425","5,506","6,479",25,VIHIGA,65 +,65 +,"44,096","39,512 410","39,512",410,"4,161",13,VIHIGA,Not Stated,Not Stated,7,- -,-,-,-,7
39,BUNGOMA,BUNGOMA,Total,BUNGOMA,"1,445,146","629,607 40,627","629,607","40,627","774,779",133,BUNGOMA,5 - 14,5 - 14,"519,430","24,720 -","24,720",-,"494,670",40,BUNGOMA,15 - 17,15 - 17,"142,634","13,148 1,119","13,148","1,119","128,357",10,BUNGOMA,18 - 24,18 - 24,"211,244","96,573 9,852","96,573","9,852","104,801",18,BUNGOMA,25 - 34,25 - 34,"210,584","173,009 15,779","173,009","15,779","21,777",19,BUNGOMA,35 - 64,35 - 64,"301,341","270,834 12,893","270,834","12,893","17,582",32,BUNGOMA,65 +,65 +,"59,906","51,323 984","51,323",984,"7,592",7,BUNGOMA,Not Stated,Not Stated,7,- -,-,-,-,7
40,BUSIA,BUSIA,Total,BUSIA,"773,860","351,407 22,325","351,407","22,325","400,058",70,BUSIA,5 - 14,5 - 14,"265,692","11,986 -","11,986",-,"253,698",8,BUSIA,15 - 17,15 - 17,"75,992","8,468 603","8,468",603,"66,918",3,BUSIA,18 - 24,18 - 24,"116,592","56,026 5,955","56,026","5,955","54,603",8,BUSIA,25 - 34,25 - 34,"111,989","93,410 8,309","93,410","8,309","10,265",5,BUSIA,35 - 64,35 - 64,"165,420","149,656 6,895","149,656","6,895","8,839",30,BUSIA,65 +,65 +,"38,166","31,861 563","31,861",563,"5,735",7,BUSIA,Not Stated,Not Stated,9,- -,-,-,-,9
41,SIAYA,SIAYA,Total,SIAYA,"868,276","412,930 22,225","412,930","22,225","432,797",324,SIAYA,5 - 14,5 - 14,"288,483","7,544 -","7,544",-,"280,856",83,SIAYA,15 - 17,15 - 17,"76,686","5,950 385","5,950",385,"70,320",31,SIAYA,18 - 24,18 - 24,"119,555","57,892 5,930","57,892","5,930","55,690",43,SIAYA,25 - 34,25 - 34,"129,804","110,746 8,634","110,746","8,634","10,385",39,SIAYA,35 - 64,35 - 64,"194,431","179,776 6,647","179,776","6,647","7,931",77,SIAYA,65 +,65 +,"59,293","51,022 629","51,022",629,"7,615",27,SIAYA,Not Stated,Not Stated,24,- -,-,-,-,24
42,KISUMU,KISUMU,Total,KISUMU,"1,004,086","434,312 50,843","434,312","50,843","518,631",300,KISUMU,5 - 14,5 - 14,"310,878","4,754 -","4,754",-,"306,069",55,KISUMU,15 - 17,15 - 17,"84,942","4,736 800","4,736",800,"79,390",16,KISUMU,18 - 24,18 - 24,"160,982","64,759 13,798","64,759","13,798","82,378",47,KISUMU,25 - 34,25 - 34,"183,956","138,596 20,867","138,596","20,867","24,441",52,KISUMU,35 - 64,35 - 64,"219,036","186,601 14,582","186,601","14,582","17,765",88,KISUMU,65 +,65 +,"44,266","34,866 796","34,866",796,"8,588",16,KISUMU,Not Stated,Not Stated,26,- -,-,-,-,26
43,HOMA BAY,HOMA BAY,Total,HOMA BAY,"970,400","419,128 27,424","419,128","27,424","523,766",82,HOMA BAY,5 - 14,5 - 14,"347,305","9,468 -","9,468",-,"337,820",17,HOMA BAY,15 - 17,15 - 17,"89,998","6,371 544","6,371",544,"83,079",4,HOMA BAY,18 - 24,18 - 24,"141,184","65,048 6,938","65,048","6,938","69,186",12,HOMA BAY,25 - 34,25 - 34,"148,284","122,377 11,197","122,377","11,197","14,699",11,HOMA BAY,35 - 64,35 - 64,"194,441","175,868 7,991","175,868","7,991","10,562",20,HOMA BAY,65 +,65 +,"49,180","39,996 754","39,996",754,"8,420",10,HOMA BAY,Not Stated,Not Stated,8,- -,-,-,-,8
44,MIGORI,MIGORI,Total,MIGORI,"948,018","400,538 33,117","400,538","33,117","514,155",208,MIGORI,5 - 14,5 - 14,"349,825","13,355 -","13,355",-,"336,414",56,MIGORI,15 - 17,15 - 17,"86,236","8,280 1,055","8,280","1,055","76,893",8,MIGORI,18 - 24,18 - 24,"147,370","72,184 9,004","72,184","9,004","66,150",32,MIGORI,25 - 34,25 - 34,"150,819","121,772 12,841","121,772","12,841","16,169",37,MIGORI,35 - 64,35 - 64,"177,832","156,525 9,444","156,525","9,444","11,809",54,MIGORI,65 +,65 +,"35,921","28,422 773","28,422",773,"6,720",6,MIGORI,Not Stated,Not Stated,15,- -,-,-,-,15
45,KISII,KISII,Total,KISII,"1,117,320","507,691 41,266","507,691","41,266","568,224",139,KISII,5 - 14,5 - 14,"366,544","8,245 -","8,245",-,"358,273",26,KISII,15 - 17,15 - 17,"97,347","6,924 763","6,924",763,"89,655",5,KISII,18 - 24,18 - 24,"153,650","71,117 9,879","71,117","9,879","72,629",25,KISII,25 - 34,25 - 34,"183,228","146,916 16,553","146,916","16,553","19,736",23,KISII,35 - 64,35 - 64,"259,439","228,590 12,984","228,590","12,984","17,828",37,KISII,65 +,65 +,"57,099","45,899 1,087","45,899","1,087","10,103",10,KISII,Not Stated,Not Stated,13,- -,-,-,-,13
46,NYAMIRA,NYAMIRA,Total,NYAMIRA,"538,716","250,423 18,614","250,423","18,614","269,627",52,NYAMIRA,5 - 14,5 - 14,"172,063","3,518 -","3,518",-,"168,532",13,NYAMIRA,15 - 17,15 - 17,"46,701","3,207 395","3,207",395,"43,095",4,NYAMIRA,18 - 24,18 - 24,"67,476","31,400 3,889","31,400","3,889","32,180",7,NYAMIRA,25 - 34,25 - 34,"86,511","69,601 7,151","69,601","7,151","9,752",7,NYAMIRA,35 - 64,35 - 64,"135,684","118,460 6,613","118,460","6,613","10,596",15,NYAMIRA,65 +,65 +,"30,279","24,237 566","24,237",566,"5,472",4,NYAMIRA,Not Stated,Not Stated,2,- -,-,-,-,2
47,NAIROBI CITY,NAIROBI CITY,Total,NAIROBI CITY,"3,814,871","1,812,311 422,288","1,812,311","422,288","1,578,696","1,576",NAIROBI CITY,5 - 14,5 - 14,"805,884","7,883 -","7,883",-,"797,786",215,NAIROBI CITY,15 - 17,15 - 17,"199,266","8,363 5,795","8,363","5,795","185,030",78,NAIROBI CITY,18 - 24,18 - 24,"701,281","279,225 123,232","279,225","123,232","298,554",270,NAIROBI CITY,25 - 34,25 - 34,"1,062,332","728,095 175,830","728,095","175,830","157,973",434,NAIROBI CITY,35 - 64,35 - 64,"989,479","763,332 114,150","763,332","114,150","111,563",434,NAIROBI CITY,65 +,65 +,"56,503","25,413 3,281","25,413","3,281","27,790",19,NAIROBI CITY,Not Stated,Not Stated,126,- -,-,-,-,126