County_slash_Sub_County,lighting_Conventional_Households,lighting_Mains_Electricity,lighting_Paraffin_Pressure_lamp,lighting_Paraffin_Lantern,lighting_Paraffin_Tin_Lamp,lighting_Gas_Lamp,lighting_Wood,lighting_Solar_and_Solar_Torch_and_Battery_Torch,lighting_Solar,lighting_Torch_slash_Spotlight_Solar_Charged,lighting_Torch_slash_Spotlight_Dry_cells,lighting_Candle,lighting_Battery_Car_Slash_Charged,lighting_Generator_Diesel_slash_Petrol),lighting_Biogas,lighting_Not_Stated
MOMBASA,"376,295",85.9,0.5,2.7,6.3,0.1,0,1.5 0.4 0.3,,,,2.2,0.1,0,0,0
CHANGAMWE,"46,439",87.7,0.4,3.1,3.6,0,0,0.9 0.6 0.4,,,,3.2,0.1,0,0,0
JOMVU,"53,214",81,0.4,3.7,9.5,0.1,0.1,2.1 0.6 0.3,,,,2.1,0.1,-,0,0
KISAUNI,"88,159",82.8,0.4,2.9,7.9,0.1,0.1,3.1 0.4 0.2,,,,1.9,0.1,0,0,0
LIKONI,"80,002",87.2,0.7,2.4,6.4,0.1,0,1.0 0.3 0.2,,,,1.7,0.1,-,0,0
MVITA,"38,710",91.1,0.2,1.1,3.8,0.1,0,0.5 0.3 0.4,,,,2.5,0.1,-,-,0.1
NYALI,"69,771",87.9,0.4,2.8,4.8,0.1,0,0.8 0.5 0.3,,,,2.3,0.1,0,-,0
KWALE,"172,802",31.5,0.5,6,29.5,0.2,1.7,22.8 2.7 3.9,,,,0.9,0.2,0,0,0
KINANGO,"16,041",8.5,0.6,5,28.1,0.1,3.2,36.4 6.2 11.1,,,,0.5,0.1,-,-,0
LUNGALUNGA,"37,276",14.9,0.6,5.9,35.6,0.1,3.8,28.0 2.9 7.2,,,,0.7,0.2,0,0,0
MATUGA,"39,124",31.2,0.5,7.9,32.6,0.1,0.4,22.9 2.5 1.1,,,,0.8,0.2,0,-,0
MSAMBWENI,"45,374",61.8,0.5,3.8,20.1,0.2,0.1,10.2 0.8 0.7,,,,1.4,0.2,0.1,-,0
SAMBURU SUBCOUNTY,"34,987",20.9,0.5,7.2,32.4,0.2,2.1,27.4 3.4 4.5,,,,0.8,0.4,0,-,0.1
KILIFI,"297,990",38.5,0.6,6.1,26.7,0.1,1.3,20.0 2.4 2.9,,,,1.2,0.2,0,0,0
CHONYI,"11,416",14.2,1.6,7.1,56.5,0.1,0.3,18.9 1.1 0.1,,,,0,0.1,-,-,-
GANZE,"23,197",5.5,0.4,3.4,24.7,0.1,6,38.5 5.4 15.3,,,,0.5,0.3,0,0,0.1
KALOLENI,"36,344",31.8,0.5,6.9,32.9,0.1,1.4,21.0 1.9 2.5,,,,0.7,0.2,0,0,0
KAUMA,"3,479",6.6,0.1,4.1,45.8,0.3,2.5,33.8 4.1 2.4,,,,0.1,0.1,-,-,-
KILIFI NORTH,"39,508",45,0.4,6.3,22,0.1,0.1,20.7 2.2 1.4,,,,1.4,0.4,0,-,0
KILIFI SOUTH,"53,011",59.9,0.7,5.5,22,0.1,0.2,8.7 1.1 0.3,,,,1.3,0.2,0,0,0
MAGARINI,"32,978",13.9,0.5,7.8,31.7,0.1,3.1,32.2 4.9 4.7,,,,1.1,0.2,0,0,0
MALINDI,"73,317",50.4,0.6,5.9,18.4,0.2,1,17.1 2.3 2.2,,,,1.7,0.1,0.1,0,0
RABAI,"24,740",35.8,0.8,7.1,38.3,0.1,0.1,14.7 1.3 0.2,,,,1.2,0.3,-,0,0
TANA RIVER,"66,984",25.6,0.2,2.4,7.1,0.5,6.8,20.9 12.1 21.7,,,,2.3,0.3,0.1,0,0.1
TANA DELTA,"22,395",17,0.2,2.7,10.1,0.4,5.6,35.7 15.4 10.8,,,,1.8,0.2,0,0,0
TANA NORTH,"26,119",29.3,0.2,1.7,2.2,0.6,7,11.9 10.7 32.7,,,,3.2,0.3,0.2,-,0
TANA RIVER SUBCOUNTY,"18,470",30.7,0.3,3.2,10.3,0.6,7.7,15.7 10.0 19.4,,,,1.6,0.4,0,0,0.1
LAMU,"34,231",43.2,0.2,3.6,7.2,0.1,1.4,28.3 5.8 8.3,,,,1.4,0.2,0.2,0,0
LAMU EAST,"4,476",59.5,0,2,3.5,0.2,0.8,27.4 2.2 3.7,,,,0.6,0.1,-,-,-
LAMU WEST,"29,755",40.7,0.2,3.9,7.8,0.1,1.5,28.5 6.4 9.0,,,,1.5,0.2,0.2,0,0
TAITA/TAVETA,"94,468",47.6,0.3,10.7,9.6,0,0.2,24.4 2.8 2.8,,,,1.2,0.1,0,0,0
MWATATE,"23,184",40,0.4,11.7,10.9,0,0.1,28.3 3.9 3.6,,,,0.8,0.2,0,-,0
TAITA,"14,985",45.9,0.3,15.3,10.6,0.1,0.3,22.1 3.1 1.7,,,,0.5,0.1,-,0,0
TAVETA,"23,417",39.5,0.6,10.6,13.7,0,0.4,26.6 2.4 4.2,,,,1.7,0.2,0,-,0
VOI,"32,882",59.6,0.2,8,5.3,0,0.1,21.1 2.3 1.7,,,,1.6,0.1,0,-,0
GARISSA,"138,940",23.5,0.2,0.7,1.5,2.8,11.9,12.7 10.9 32.1,,,,1.4,0.2,2,0.1,0
BALAMBALA,"3,986",8.4,0.1,1.6,2.8,5.4,23.8,8.1 13.9 35.5,,,,0.4,0.1,-,-,-
DADAAB,"35,169",7.2,0.2,0.4,1.1,4.7,13.3,20.2 16.2 31.1,,,,1,0.4,4.1,0,0
FAFI,"23,351",10.2,0.5,0.5,1.3,2.3,13.2,15.8 14.2 34.9,,,,1.2,0.3,5.6,0,0
GARISSA SUBCOUNTY,"29,790",79.4,0.2,0.4,0.6,0.9,4.6,1.5 2.1 9.9,,,,0.3,0.1,0,0,0.1
HULUGHO,"20,078",0.5,0,1.1,1.2,1.2,11.8,5.7 12.7 63.7,,,,1.8,0.1,0,0,0
IJARA,"18,296",18.7,0.2,1.9,4.9,4.1,17,20.8 6.5 21.3,,,,4.1,0.1,0,0.3,0
LAGDERA,"8,270",3.4,0,0.1,0.2,2.2,11.8,13.3 14.7 53.7,,,,0.4,0.2,0,0,-
WAJIR,"126,878",14.1,0.1,0.6,0.9,2.8,15.4,11.6 11.2 42.2,,,,0.6,0.1,0.3,0,0
BUNA,"6,480",0.1,0,1.7,1.1,2.5,24,26.1 11.3 32.7,,,,0.2,0.1,0,0.1,-
ELDAS,"13,862",7.9,0.1,0.4,0.9,2.8,26.1,13.4 10.9 36.6,,,,0.7,0.2,0,0.1,-
HABASWEIN,"31,113",15.6,0.1,0.2,0.3,1.8,7.6,15.1 12.0 45.3,,,,0.6,0.1,1.3,0,0
TARBAJ,"9,241",1,0.4,0.7,0.7,3.5,35.8,7.7 10.0 39.7,,,,0.5,-,0,0,-
WAJIR EAST,"18,282",47.8,0.2,0.6,1.9,6.2,10.2,6.5 6.0 19.4,,,,1.1,0.1,0.1,0,0
WAJIR NORTH,"10,478",15.4,0.1,1.3,2.3,3.2,21.5,8.5 12.3 35.0,,,,0.4,0.1,0,0,-
WAJIR SOUTH,"21,149",1.4,0,0.6,0.2,1.9,11.6,9.0 13.6 61.0,,,,0.6,0,-,0,0
WAJIR WEST,"16,273",7.7,0.1,0.9,0.8,1.8,12.9,11.1 12.3 51.8,,,,0.4,0.2,0,-,-
MANDERA,"123,954",15.7,0.2,0.5,1,2.6,26.8,9.9 8.2 34.1,,,,0.8,0.1,0,0,0
MANDERA WEST,"14,201",7.2,0.3,1.3,1.7,2.8,32.8,12.8 10.6 29.7,,,,0.7,0.1,0,0,0
BANISA,"24,000",0.3,0.3,0.4,0.7,1.9,45.1,13.2 7.9 29.5,,,,0.6,0.1,0,0,0
KOTULO,"9,342",6.6,0.1,1.3,1,3.3,19.6,11.7 9.6 45.4,,,,1.1,0.2,0.1,-,-
LAFEY,"11,380",0.5,0,0.1,0.3,1.9,35.8,5.5 9.9 44.2,,,,1.5,0.1,0,-,-
MANDERA CENTRAL,"20,795",23.6,0.6,0.7,1.7,4.3,23.2,12.5 6.0 26.8,,,,0.3,0.1,0,0,0.1
MANDERA EAST,"25,206",46.4,0.2,0.2,1,3.1,8.6,5.9 6.2 27.3,,,,0.9,0.1,0,0,-
MANDERA NORTH,"19,030",5.4,0,0.2,0.6,1,25.7,7.8 9.9 48.4,,,,0.8,0.1,-,0,-
MARSABIT,"76,689",21.3,0.2,2.7,2.8,1.6,14.2,15.1 12.6 28.4,,,,0.9,0.1,0,0.1,0.1
LOIYANGALANI,"7,646",0.1,0.1,0.7,0.1,0.1,27.3,12.4 21.9 36.9,,,,0.2,0.2,-,-,-
MARSABIT CENTRAL,"15,658",50.4,0.3,5.4,4.9,0.8,4.8,20.9 7.7 2.9,,,,1.7,0.1,-,-,0
MARSABIT NORTH,"7,468",0.1,-,0,0.1,0.2,8.7,11.6 23.9 54.9,,,,0.3,0,0,0,-
MARSABIT SOUTH,"11,563",2,0.1,1,0.2,0,14.7,14.4 24.3 42.2,,,,0.8,0.1,0.1,0,0
MOYALE,"17,591",45.7,0.3,3.4,4.5,4.1,7.1,13.2 4.4 15.5,,,,1.3,0.1,0,0.4,0
NORTH HORR,"9,601",1.2,0,0,0.1,0.1,32,5.6 6.4 53.8,,,,0,0.1,0.2,-,0.4
SOLOLO,"7,162",0.5,0.2,5.9,7,4.3,19.7,27.5 11.2 22.2,,,,1.1,0.2,0,-,0
ISIOLO,"53,217",40.6,0.3,3.8,3.7,1.2,6.7,9.1 9.0 24.6,,,,0.7,0.2,0.1,0,0
GARBATULLA,"17,047",15,0.3,5.9,4,2.8,11.2,14.4 11.6 34.5,,,,0.2,0.2,0,0,0
ISIOLO SUBCOUNTY,"27,612",61.5,0.4,3.2,4.6,0.5,3.3,6.0 7.4 11.8,,,,1.2,0.2,0.1,0,0
MERTI,"8,558",24.5,0,1.8,0.4,0.4,8.8,8.7 9.1 46.3,,,,0.2,0,-,-,-
MERU,"423,931",40.2,0.5,11,13.9,0.2,1.5,18.8 3.6 8.3,,,,1.5,0.5,0,0,0
BUURI EAST,"23,737",41.5,0.6,14.9,10,0.2,0.6,23.0 4.5 3.2,,,,1.1,0.5,0,-,0
BUURI WEST,"27,905",53.5,0.4,8.6,7.9,0.1,0.4,17.8 4.6 3.7,,,,1.6,1.1,0.2,-,0
IGEMBE CENTRAL,"51,848",22.3,0.6,12.1,16.1,0.3,2.5,24.3 4.0 14.9,,,,1.9,1,0,0,0
IGEMBE NORTH,"38,716",19.6,0.6,9.3,16.4,0.2,4.2,29.1 4.6 13.7,,,,1.8,0.4,0,0,0
IGEMBE SOUTH,"43,222",36.2,0.3,9.6,12,0.2,1.5,15.8 3.4 18.1,,,,2.2,0.6,0,0,0.1
IMENTI NORTH,"57,556",73.1,0.2,6.3,7.5,0.1,0.2,8.2 1.3 1.6,,,,1.2,0.1,-,-,0
IMENTI SOUTH,"63,954",54.4,0.6,10.7,10.9,0.1,0.4,13.5 2.9 4.6,,,,1.5,0.2,0,0,0
MERU CENTRAL,"39,498",44.3,0.4,11.3,11.6,0.1,0.8,18.8 3.5 7.4,,,,1.3,0.4,0,0,0
TIGANIA CENTRAL,"24,983",19.5,0.8,14.8,23.2,0.2,2.6,19.2 3.4 14.5,,,,1.4,0.5,-,0,0
TIGANIA EAST,"16,791",19.2,0.2,14.5,17.5,0.4,5.1,28.2 9.7 4.3,,,,0.6,0.2,0,0,0.1
TIGANIA WEST,"35,402",23.9,0.6,15.9,28.1,0.3,0.9,23.0 3.4 2.9,,,,0.7,0.4,0,0,0
MERU NATIONAL PARK,46,93.5,-,-,-,-,-,- - 2.2,,,,-,-,4.3,-,-
MT. KENYA FOREST,273,8.8,-,9.5,7.7,0.4,12.8,1.8 8.1 50.2,,,,0.7,-,-,-,-
THARAKA-NITHI,"109,450",34.7,0.4,9,13.1,0.1,2.1,17.1 3.9 18.2,,,,1.1,0.2,0,0,0
IGAMBANG'OMBE,"14,383",12.8,0.1,10.4,21.3,0,1.8,23.3 5.9 22.7,,,,1.2,0.3,0,0,0
MAARA,"34,779",46.6,0.8,12.1,17.3,0.2,0.5,12.3 2.6 6.4,,,,1,0.3,0,0,0
MERU SOUTH,"28,211",60.9,0.3,11.6,10.9,0.1,0.5,8.8 1.7 3.6,,,,1.4,0.2,0,-,0
THARAKA NORTH,"13,403",4.2,0.1,2,5.2,0.2,7.1,23.7 6.4 49.8,,,,0.9,0.4,0,0,0.1
THARAKA SOUTH,"18,603",11.4,0.1,3.4,8.2,0.1,4.3,29.0 6.2 36.4,,,,0.7,0.1,0,-,0
MT. KENYA FOREST,71,70.4,-,8.5,1.4,-,-,8.5 2.8 4.2,,,,4.2,-,-,-,-
EMBU,"182,427",47,0.4,8,11.8,0.1,0.4,21.1 2.8 6.6,,,,1.5,0.3,0,0,0
EMBU EAST,"39,586",51.5,0.4,11.5,17.3,0.1,0.2,13.7 2.0 1.8,,,,1.2,0.2,0,0,-
EMBU NORTH,"24,294",63.3,0.5,9.1,17.4,0.1,0.2,5.9 1.1 1.0,,,,1.2,0.3,-,0,0
EMBU WEST,"43,126",75.8,0.4,5.7,8.9,0.1,0.1,5.2 0.9 1.2,,,,1.7,0.2,-,-,0
MBEERE SOUTH,"45,924",23,0.4,7.4,9.1,0.1,0.3,40.9 5.3 11.6,,,,1.3,0.5,0,0,0
MBEERE NORTH,"29,483",22.8,0.4,6.5,8,0.2,1.3,36.1 4.2 18.1,,,,2,0.4,0,-,0
MT. KENYA FOREST,14,28.6,-,28.6,7.1,-,-,28.6 - -,,,,7.1,-,-,-,-
,,,,,,,,Type of Lighting Fuel (%),,,,,,,,
,Conventional,,,,,,,,,,,,,,,
County/ Sub-County,,,Paraffin,,,,,Torch/  Torch/ Spot,,,,,,,,
,Households,,,,,,,,,,,,,,,
,,Mains,Pressure,Paraffin,Paraffin Tin,,,Spotlight-Solar light-Dry,,,,,Battery,Generator,,Not
,,Electricity,lamp,Lantern,lamp,Gas Lamp,Wood,Solar Charged cells,,,,Candle,(Car/Charged),(Diesel/Petrol),Biogas,Stated
KITUI,"261,814",17.1,0.5,13.8,9.4,0.2,1.9,37.3 6.7 11.7,,,,0.9,0.3,0,0,0
IKUTHA,"16,579",6.4,0.5,12.5,12.8,0.4,2.3,40.5 7.8 15.3,,,,1.2,0.3,-,-,0
KATULANI,"12,166",17.7,0.4,12.6,9.2,0.4,1,46.7 9.1 2.3,,,,0.5,0.2,-,-,-
KISASI,"10,860",12.3,0.8,17.2,16,0.3,0.2,38.0 9.5 4.7,,,,0.9,0.1,-,0,0
KITUI CENTRAL,"29,026",48.5,0.5,10.9,6.7,0.2,0.2,24.8 4.1 2.0,,,,1.6,0.3,0,-,0
KITUI WEST,"17,465",20.7,0.9,13.5,9.6,0.2,0.3,48.3 4.6 1.0,,,,0.6,0.3,0,-,-
KYUSO,"15,969",7.1,0.5,10.7,9.8,0.4,3.3,36.1 6.6 24.5,,,,0.7,0.3,0.1,0,0
LOWER YATTA,"15,021",10.1,0.6,12.4,7.6,0.3,1.9,52.1 7.5 6.7,,,,0.6,0.3,0,-,0
MATINYANI,"11,497",23.3,0.5,14.7,12.1,0.1,0.6,39.5 6.7 1.7,,,,0.5,0.2,0,0,-
MIGWANI,"18,843",15.5,0.6,19.4,9.1,0.1,0.4,48.3 3.8 1.9,,,,0.4,0.6,0,-,0
MUMONI,"6,451",4,0.4,13.4,10.1,0.1,1.5,39.2 6.0 24.2,,,,0.9,0.2,0.1,-,0
MUTITU,"11,490",4.4,0.5,13.9,10.4,0.2,8.4,32.3 6.6 22.1,,,,0.8,0.2,-,-,0.1
MUTITU NORTH,"4,929",8.3,0.2,11.6,7.9,0,1,43.5 6.0 20.5,,,,0.7,0.3,-,-,0
MUTOMO,"23,034",6.5,0.4,14.5,8.6,0.2,4.3,35.3 11.9 17.2,,,,0.8,0.4,0,0,0
MWINGI CENTRAL,"26,745",26.7,0.6,17.3,9.8,0.1,0.6,32.9 2.7 7.0,,,,2,0.3,0,0,0
MWINGI EAST,"18,725",6.7,0.4,12.2,9.8,0.4,2.5,35.6 7.3 24.1,,,,0.5,0.4,0,0,0
NZAMBANI,"11,276",23.5,0.6,20.1,10.3,0,1,29.1 7.9 5.5,,,,1.4,0.5,0,-,-
THAGICU,"3,289",1.6,0.1,3.3,1.9,0.1,3.3,27.6 5.7 56.2,,,,0.2,0,-,0.1,-
TSEIKURU,"8,449",6.4,0.3,5.8,4.7,0.2,5.7,24.2 14.5 37.4,,,,0.7,0.2,0,-,-
MACHAKOS,"399,523",48.3,0.6,11.6,7.7,0.1,0.2,25.6 2.9 0.9,,,,1.8,0.3,0,0,0
ATHI RIVER,"109,723",84.7,0.4,3,2.3,0.1,0.1,5.1 0.6 0.4,,,,3.1,0.2,0,0,0.1
KALAMA,"14,137",26.4,1,17.7,11.1,0.2,0.3,36.0 5.3 0.9,,,,0.7,0.3,0,0,0
KANGUNDO,"26,115",38,0.5,16.8,9.7,0.1,0.1,28.8 4.2 0.5,,,,1.1,0.2,0,0,0
KATHIANI,"28,730",34.7,0.7,18.4,11,0.1,0.3,26.4 6.0 0.9,,,,1.2,0.2,0,-,0
MACHAKOS SUBCOUNTY,"50,753",70.4,0.6,9.7,4.6,0,0.1,10.6 1.7 0.3,,,,1.7,0.2,0,0,0
MASINGA,"36,196",13.2,0.6,15.6,14.4,0.3,0.7,47.8 3.1 2.4,,,,1,0.8,0,0,0
MATUNGULU,"44,399",38.1,0.7,14.7,9.1,0.2,0.2,31.4 2.4 0.6,,,,1.9,0.6,0,0,0
MWALA,"45,809",18.8,0.7,14,10.3,0.2,0.3,48.1 5.2 1.4,,,,0.9,0.1,0,-,0
YATTA,"43,661",23.7,0.8,16.6,10.5,0.2,0.4,40.7 3.9 1.7,,,,1.2,0.3,0,0,0
MAKUENI,"243,979",20.4,0.7,16,10,0.1,0.3,44.0 4.2 2.9,,,,1,0.4,0,0,0
KATHONZWENI,"18,362",7.4,0.5,18.4,7.2,0.1,0.5,56.3 4.9 3.7,,,,0.5,0.6,0.1,-,0
KIBWEZI,"47,594",18.6,0.7,14.5,14,0.2,0.4,41.0 3.3 5.4,,,,1.2,0.7,0.1,-,0
KILUNGU,"14,563",18.2,1.4,18.5,11.6,0.1,0.9,41.6 5.0 2.0,,,,0.4,0.2,0,-,0
MAKINDU,"21,662",31.1,0.8,13.7,11,0.1,0.4,35.8 2.9 2.8,,,,0.9,0.5,0,-,0
MAKUENI SUBCOUNTY,"34,352",30,0.5,12.2,7.1,0.1,0.2,42.5 4.2 1.8,,,,1.1,0.3,0,0,0
MBOONI EAST,"23,724",9.6,0.5,14.4,9.4,0.1,0.2,53.3 9.3 2.2,,,,0.8,0.2,0,0,0
MBOONI WEST,"24,807",14.4,0.4,20.2,11,0.1,0.2,48.5 3.0 1.2,,,,0.7,0.2,0,-,0
MUKAA,"28,109",25,0.7,19.5,9.9,0.1,0.3,38.3 2.4 2.1,,,,1.4,0.3,0,0,0
NZAUI,"30,806",23,0.7,16.1,7.2,0.1,0.3,43.9 4.4 2.9,,,,1,0.3,0,0,0
NYANDARUA,"178,224",41.3,0.4,15,8.1,0.1,0.1,28.4 2.7 1.1,,,,1.6,1.1,0,0,0
KINANGOP,"30,847",51.2,0.5,15.7,6,0,0.1,19.5 2.7 0.6,,,,2.2,1.3,0.1,-,0
NYANDARUA SOUTH,"25,650",39.6,0.4,13,6,0.1,0.1,34.0 2.9 1.2,,,,1.9,0.9,0,0,0
MIRANGINE,"17,880",38.2,0.4,19.5,9.5,0,0.2,25.5 2.9 1.2,,,,1.3,1.2,0,0,0
KIPIPIRI,"25,077",27,0.4,16.4,10.2,0.1,0.2,37.3 3.8 1.7,,,,1.2,1.6,0,0,0
NYANDARUA CENTRA,"21,852",52.4,0.4,11.7,6.8,0,0.1,22.6 2.3 1.1,,,,1.9,0.7,0,-,0
NYANDARUA WEST,"29,003",48.7,0.4,13.8,8.4,0.1,0.1,23.9 1.9 0.9,,,,1.3,0.5,0,0,0
NYANDARUA NORTH,"27,906",30.4,0.4,15.7,10.3,0,0.2,36.3 2.7 1.4,,,,1.1,1.5,0,0,0
ABERDARE NATIONAL PARK,9,100,-,-,-,-,-,- - -,,,,-,-,-,-,-
NYERI,"244,564",71.8,0.4,8.1,8.1,0.1,0.1,8.4 1.2 0.7,,,,1,0.3,0,0,0
TETU,"24,122",76.2,0.7,7.8,8.6,0.1,0.1,4.6 0.9 0.3,,,,0.6,0.1,-,0,0
KIENI EAST,"36,751",59.1,0.3,8.5,9,0,0.2,17.1 2.5 1.7,,,,1,0.6,0,-,0
KIENI WEST,"27,530",40.2,0.3,12.7,11.4,0.1,0.5,29.2 2.4 1.2,,,,1,0.9,0,0,0
MATHIRA EAST,"33,945",80.3,0.5,8.1,6,0.1,0.1,2.6 0.6 0.5,,,,1.2,0.1,-,0,0
MATHIRA WEST,"18,892",71.5,0.4,10.4,9.4,0.1,0.1,5.5 0.9 0.5,,,,0.9,0.1,-,0,0
NYERI SOUTH,"28,103",82.2,0.3,6.7,6.8,0,0,2.2 0.6 0.2,,,,0.7,0.1,0,0,0
MUKURWE-INI,"27,036",66.8,0.5,10.7,12.8,0,0.1,7.1 1.0 0.4,,,,0.5,0.1,-,0,0
NYERI CENTRAL,"48,036",88,0.3,3.6,4.2,0.1,0,1.6 0.4 0.3,,,,1.3,0.1,0,-,0
MT. KENYA FOREST,101,36.6,-,5.9,6.9,-,6.9,11.9 12.9 17.8,,,,1,-,-,-,-
ABERDARE FOREST,48,87.5,-,-,-,-,-,8.3 - -,,,,4.2,-,-,-,-
KIRINYAGA,"203,576",65.3,0.4,9.3,12.5,0,0.1,8.5 1.2 0.9,,,,1.5,0.3,0,0,0
KIRINYAGA CENTRAL,"40,149",75.8,0.4,7.6,10,0,0.1,3.6 0.8 0.4,,,,1.1,0.1,0,0,0
KIRINYAGA EAST,"44,509",68.4,0.4,9.2,13.8,0,0.1,4.7 1.1 0.8,,,,1.3,0.1,-,0,0
KIRINYAGA WEST,"37,951",61.6,0.5,10.9,12,0.1,0.1,11.2 1.3 0.6,,,,1.4,0.3,0,0,0
MWEA EAST,"46,331",61,0.4,9.2,12.5,0,0.1,11.4 1.5 1.6,,,,2,0.3,0,0,0
MWEA WEST,"34,613",59.1,0.4,9.5,14.5,0.1,0,12.2 1.1 0.7,,,,1.7,0.7,0,-,0
MT. KENYA FOREST,23,34.8,-,-,17.4,-,-,47.8 - -,,,,-,-,-,-,-
MURANG'A,"317,496",60.5,0.5,12.5,14.3,0.1,0.1,9.2 1.2 0.5,,,,0.9,0.2,0,0,0
MURANG'A EAST,"34,650",63.4,0.4,9.9,13,0.1,0.1,10.3 1.5 0.4,,,,0.7,0.1,0,-,0
KANGEMA,"25,283",59.5,0.5,15.4,13.6,0.1,0.1,8.7 1.1 0.4,,,,0.6,0.1,0,-,-
MATHIOYA,"28,372",60.7,0.7,12.1,16.9,0,0.1,7.8 0.8 0.3,,,,0.5,0.1,-,0,0
KAHURO,"26,778",58.7,0.6,16.4,12.7,0,0.1,8.8 1.6 0.5,,,,0.5,0.1,-,-,0
MURANG'A SOUTH,"55,878",56.5,0.6,10.5,16.8,0.1,0.2,12.2 1.1 0.5,,,,1.1,0.2,0,0,0
GATANGA,"55,340",60.1,0.4,11.8,11.2,0,0.1,12.3 1.6 0.7,,,,1.3,0.3,0,0,0
KIGUMO,"40,528",57.3,0.4,14.7,17,0,0.1,8.2 1.0 0.4,,,,0.8,0.2,0,-,0
KANDARA,"50,657",67.4,0.5,12.3,13.7,0,0,3.9 0.7 0.3,,,,0.9,0.1,0,0,0
ABERDARE FOREST,10,40,-,-,10,-,-,20.0 10.0 20.0,,,,-,-,-,-,-
KIAMBU,"792,333",91.7,0.2,2.6,2.2,0,0,1.2 0.3 0.2,,,,1.5,0.1,0,0,0
GATUNDU NORTH,"31,452",80.2,0.3,7.3,7,0,0.1,2.8 0.5 0.3,,,,1.3,0.1,0,-,0
GATUNDU SOUTH,"35,577",90.6,0.3,3.6,3.4,0,0.1,0.3 0.1 0.1,,,,1.3,0,0,-,0
GITHUNGURI,"49,414",89,0.3,4.7,3.3,0.1,0,0.4 0.3 0.2,,,,1.6,0.1,-,-,0
JUJA,"104,042",91.2,0.1,2.4,1.6,0,0,2.3 0.4 0.2,,,,1.5,0.1,0,0,0
KABETE,"66,681",95.1,0.1,1.5,0.9,0,0,0.4 0.2 0.1,,,,1.6,0,0,0,0
KIAMBAA,"80,316",94,0.2,1.8,1.8,0.1,0,0.4 0.2 0.1,,,,1.3,0,0,0,0
KIAMBU SUBCOUNTY,"46,816",93.6,0.1,1.9,2,0,0,0.6 0.2 0.1,,,,1.3,0,-,0,0.1
KIKUYU,"60,619",93.7,0.1,2,1.2,0,0,1.1 0.2 0.1,,,,1.4,0,0,0,0
LARI,"38,585",82.1,0.4,6.5,5.9,0,0,1.8 0.6 0.3,,,,2,0.2,-,0,0
LIMURU,"49,096",86.6,0.3,3.9,3.9,0.1,0.1,2.6 0.4 0.3,,,,1.8,0.1,0,0,0
RUIRU,"127,910",95.8,0.1,0.9,0.8,0,0,0.7 0.2 0.1,,,,1.2,0,-,0,0
THIKA EAST,"12,736",75.3,0.2,8,5.3,0,0.1,6.0 1.2 0.8,,,,2.8,0.2,0,-,0
THIKA WEST,"89,089",95,0.1,1.4,1,0,0.1,0.5 0.2 0.1,,,,1.5,0,0,0,0
TURKANA,"162,627",8.6,0.1,0.9,1.8,0.3,49.1,6.2 12.1 18.2,,,,1.8,0.2,0.7,0,0.1
