number_original,County,equitable_share_2020_21,equitable_share_2021_22_plus,conditional_grant_2020_21,conditional_grant_2021_22_plus,annual_own_source_revenue_2020_21,annual_own_source_revenue_2021_22_plus,total_revenue_2020_21,total_revenue_2021_22_plus,number_x,county,number_of_schools,total_enrolment,average_school_size,place,population,land_area_km_sq,pop_density_per_km_sq,county_ptr,public_enrolment,public_teachers,public_PTR,private_enrolment,private_teachers,private_PTR,overall_public_plus_private_enrolment,public_over_overall_enrolment_as_pct,overall_pri_ptr_county,overall_pri_ptr_enrolment,overall_pri_ptr_teachers,overall_pri_ptr_PTR,txtbk_no,txtbk_county,txtbk_grade_1,txtbk_grade_2,txtbk_grade_3,pupil_textbook_ratio,s_number_elec,county_elec,national_grid,solar,no_power,elec_table_total,no_power_pct,with_power_pct,with_national_grid_pct,complete_dig_SN,complete_dig_county,number_of_pri_schools_by_2016,number_of_schools_w_complete_digital_devices,pct_installed,detailed_digi_SN,detailed_digi_county,installed_learner_digi_devices,installed_learner_digi_devices.1,Installed_digi_content_server_and_wireless_routers,installed_projectors,installed_special_needs_edu_devices,nasmla_number,nasmla_county,mathematics_mean,mathematics_SE,english_mean,english_SE,kiswahili_mean,kiswahili_SE,county_lower,Unnamed: 0.1,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number_y,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower,name_lower,county_pupil_tr,pre_primary_pupil_teacher_ratio,secondary_pupil_teacher_ratio,female_Place_county_or_subcounty,female_total_and_gender,female_number,female_dont_know_number,female_dont_know_number_percent,female_not_stated_number,female_at_school_or_learning_institution_number,female_at_school_or_learning_institution_pct,female_after_completion_number,female_after_completion_pct,female_before_completion_number,female_before_completion_pct,female_never_been_to_school_or_learning_institution_number,female_never_been_to_school_or_learning_institution_pct,public_primary_enrolment_as_pct_of_overall_enrolment,never_been_to_school_over_population_pct,before_completion_over_population_pct,left_school_before_plus_after_completion,left_school_over_left_before_and_after_as_pct,after_completion_over_left_before_and_after_as_pct,never_been_to_school_over_left_before_and_after_pct,population_per_no_of_schools_over_area
0,Baringo,"5,095.65","6,369.39",752.87,681.62,205.2,258.55,"6,053.72","7,309.56",1,Baringo,841,"161,919",193,Baringo,"666,763","10,976.40",61,Baringo,"143,618","5,595",26,"18,301",883,21,"161,919",88.69743514,Baringo,"161,919","6,478",25,1,Baringo,1.01,1.01,1.39,1.13,30,Baringo,566,183,51,800,6.375,93.625,70.75,1,Baringo,635,633,99.69,1,Baringo,"19,283","1,266",633,633,29,1,Baringo,500.5,56.9,499.3,65.1,493.6,61.7,baringo,459,Baringo,Kabarnet,,,,BARINGO,BARINGO,"609,555","6,530",1.1,44,"253,878",41.6,"124,066",20.4,"67,739",11.1,"157,298",25.8,704,BARINGO,Male,"306,702","3,456",1.1,18,"130,797",42.6,"64,231",20.9,"32,867",10.7,"75,333",24.6,baringo,baringo,Baringo,29.2,25.7,BARINGO,Female,"302,842","3,074",1,26,"123,075",40.6,"59,832",19.8,"34,871",11.5,"81,964",27.1,88.69743514,23.59129106,10.15938197,"191,805",35.31659759,64.68340241,82.00933239,0.07222966008
1,Bomet,"5,507.10","6,691.10",832.35,806.48,183.01,300,"6,522.46","7,797.58",2,Bomet,968,"231,197",239,Bomet,"875,689","2,530.90",346,Bomet,"198,857","4,938",40,"32,340","2,792",12,"231,197",86.01192922,Bomet,"231,197","7,730",30,2,Bomet,0.99,0.91,1,0.96,36,Bomet,666,1,24,691,3.473227207,96.52677279,96.38205499,2,Bomet,632,630,99.68,2,Bomet,"27,609","1,260",630,630,,2,Bomet,485.2,27.8,462.2,21.5,447.3,24.2,bomet,485,Bomet,Bomet,36,,,BOMET,BOMET,"810,122","6,730",0.8,75,"400,330",49.4,"169,658",20.9,"160,702",19.8,"72,627",9,848,BOMET,Male,"400,694","3,572",0.9,41,"205,930",51.4,"88,746",22.1,"72,327",18.1,"30,078",7.5,bomet,bomet,Bomet,38.8,39.8,BOMET,Female,"409,407","3,158",0.8,34,"194,390",47.5,"80,911",19.8,"88,369",21.6,"42,545",10.4,86.01192922,8.293697877,18.35149237,"330,360",48.64450902,51.35549098,21.98419906,0.3574370369
2,Bungoma,"8,893.65","10,659.44",876.59,696.07,395.12,500,"10,165.36","11,855.51",3,Bungoma,"1,115","500,157",449,Bungoma,"1,670,570","3,023.90",552,Bungoma,"449,148","8,996",50,"51,009","2,277",22,"500,157",89.80140236,Bungoma,"500,157","11,273",44,3,Bungoma,0.89,0.89,0.9,0.89,39,Bungoma,749,15,23,787,2.92249047,97.07750953,95.17153748,3,Bungoma,741,741,100,3,Bungoma,"58,871","1,482",741,741,24,3,Bungoma,433.9,10.3,434.2,12.6,462.6,15.6,bungoma,492,Bungoma,Bungoma,39,,,BUNGOMA,BUNGOMA,"1,538,767","15,673",1,139,"782,677",50.9,"264,282",17.2,"324,058",21.1,"151,938",9.9,929,BUNGOMA,Male,"745,883","8,198",1.1,74,"396,144",53.1,"133,462",17.9,"140,682",18.9,"67,323",9,bungoma,bungoma,Bungoma,42,37.7,BUNGOMA,Female,"792,851","7,473",0.9,65,"386,512",48.7,"130,817",16.5,"183,372",23.1,"84,612",10.7,89.80140236,9.094979558,19.39804977,"588,340",55.08005575,44.91994425,25.82486317,0.4954757295
3,Busia,"6,013.50","7,172.16",845.88,600.43,322.56,499.8,"7,181.93","8,272.39",4,Busia,568,"250,860",442,Busia,"893,681","1,696.30",527,Busia,"231,765","4,949",47,"19,095",962,20,"250,860",92.38818464,Busia,"250,860","5,911",42,4,Busia,0.82,0.89,0.84,0.85,40,Busia,440,4,1,445,0.2247191011,99.7752809,98.87640449,4,Busia,432,431,99.77,4,Busia,"31,567",864,432,432,17,4,Busia,465.9,15.6,475.3,22.7,493.1,22.8,busia,502,Busia,Busia,40,,,BUSIA,BUSIA,"820,788","5,512",0.7,74,"405,072",49.4,"136,790",16.7,"170,347",20.8,"102,993",12.5,968,BUSIA,Male,"388,748","2,991",0.8,35,"202,993",52.2,"70,030",18,"73,630",18.9,"39,069",10,busia,busia,Busia,46.8,35.5,BUSIA,Female,"432,013","2,521",0.6,39,"202,061",46.8,"66,760",15.5,"96,713",22.4,"63,919",14.8,92.38818464,11.52458204,19.06127578,"307,137",55.46287162,44.53712838,33.53324412,0.9275376067
7,Keiyo-Marakwet,"3,861.30","4,606.53",735.21,855.35,69.08,166.1,"4,665.58","5,627.98",5,Elgeyo Marakwet,467,"123,818",265,Elgeyo/Marakwet,"454,480","3,032.00",150,Elgeyo Marakwet,"109,641","3,820",29,"14,177",784,18,"123,818",88.55013003,Elgeyo Marakwet,"123,818","4,604",27,5,Elgeyo/Marakwet,0.99,1,1,1,28,Elgeyo/Marakwet,371,19,9,399,2.255639098,97.7443609,92.98245614,5,Elgeyo/Marakwet,369,369,100,5,Elgeyo/Marakwet,"13,964",738,369,369,,5,Elgeyo Marakwet,488.2,14.9,461,17.1,495,11.9,elgeyo marakwet,452,Elgeyo-Marakwet,Iten,28,,,ELGEYO/MARAKWET,ELGEYO/MARAKWET,"418,765","3,541",0.8,62,"203,979",48.7,"93,397",22.3,"65,739",15.7,"52,047",12.4,668,ELGEYO/MARAKWET,Male,"209,151","1,789",0.9,30,"103,310",49.4,"48,510",23.2,"31,890",15.2,"23,622",11.3,elgeyo/marakwet,elgeyo/marakwet,Elgeyo Marakwet,24.7,27.4,ELGEYO/MARAKWET,Female,"209,602","1,751",0.8,32,"100,663",48,"44,886",21.4,"33,847",16.1,"28,423",13.6,88.55013003,11.45198909,14.46466291,"159,136",41.30994872,58.69005128,32.70598733,0.3209731458
8,Embu,"4,304.40","5,125.24",998.06,607.12,375.33,900,"5,677.78","6,632.36",6,Embu,519,"124,774",240,Embu,"608,599","2,820.70",216,Embu,"101,425","3,694",27,"23,349","1,120",21,"124,774",81.28696684,Embu,"124,774","4,814",26,6,Embu,0.5,0.5,0.5,0.5,14,Embu,370,11,0,381,0,100,97.11286089,6,Embu,381,381,100,6,Embu,"12,740",762,381,381,13,6,Embu,473.9,14.5,474.3,16.6,461.8,15.2,embu,394,Embu,Embu,14,,,EMBU,EMBU,"568,228","2,404",0.4,51,"205,389",36.1,"180,500",31.8,"131,329",23.1,"48,555",8.5,284,EMBU,Male,"283,024","1,530",0.5,22,"104,132",36.8,"90,744",32.1,"67,774",23.9,"18,822",6.7,embu,embu,Embu,35.8,25.2,EMBU,Female,"285,182",874,0.3,29,"101,251",35.5,"89,746",31.5,"63,552",22.3,"29,730",10.4,81.28696684,7.978159675,21.57890499,"311,829",42.11571085,57.88428915,15.57103412,0.4157258003
9,Garissa,"7,026.30","7,927.21","1,651.83","1,241.03",103.53,150,"8,781.65","9,318.24",7,Garissa,304,"77,465",255,Garissa,"841,353","44,736.00",19,Garissa,"51,895",926,56,"25,570",785,33,"77,465",66.99154457,Garissa,"77,465","1,711",45,7,Garissa,0.98,1.01,1.01,1,7,Garissa,69,176,3,248,1.209677419,98.79032258,27.82258065,7,Garissa,163,153,93.87,7,Garissa,"7,762",306,153,153,16,7,Garissa,398.2,67.2,363.2,67.6,351.8,55.6,garissa,36,Garissa,Garissa,7,Garissa,garissa,GARISSA,GARISSA,"778,006","27,479",3.5,155,"132,990",17.1,"23,144",3,"9,508",1.2,"584,730",75.2,110,GARISSA,Male,"425,411","15,564",3.7,93,"77,489",18.2,"15,400",3.6,"5,309",1.2,"311,556",73.2,garissa,garissa,Garissa,44.8,25.4,GARISSA,Female,"352,563","11,913",3.4,62,"55,497",15.7,"7,744",2.2,"4,198",1.2,"273,149",77.5,66.99154457,69.49877162,1.130084519,"32,652",29.11919637,70.88080363,1790.793826,0.0618653557
13,Homa Bay,"6,741.45","7,805.35",704.95,607.76,120.41,143.81,"7,566.81","8,556.93",8,Homa Bay,"1,042","313,666",301,Homa Bay,"1,131,950","3,152.50",359,Homa Bay,"279,599","7,226",39,"34,067","1,351",25,"313,666",89.13908425,Homa Bay,"313,666","8,577",37,8,Homa Bay,1,1,1,1,43,Homa Bay,763,22,0,785,0,100,97.19745223,8,Homa Bay,875,875,100,8,Homa Bay,"34,758","1,752",875,875,,8,Homa Bay,495,23.3,515.3,14.9,473.2,6.1,homa bay,513,Homa Bay,Homa Bay,43,,,HOMA BAY,HOMA BAY,"1,037,468","6,627",0.6,81,"539,753",52,"196,288",18.9,"200,313",19.3,"94,406",9.1,1037,HOMA BAY,Male,"491,680","3,451",0.7,40,"274,952",55.9,"98,363",20,"79,996",16.3,"34,878",7.1,homa bay,homa bay,Homa Bay,60.5,34.4,HOMA BAY,Female,"545,768","3,174",0.6,41,"264,796",48.5,"97,920",17.9,"120,311",22,"59,526",10.9,89.13908425,8.34012103,17.69627634,"396,601",50.50743695,49.49256305,23.80377256,0.3445913961
14,Isiolo,"4,241.10","4,710.39",942.48,813.49,57.18,113.69,"5,240.76","5,637.57",9,Isiolo,163,"35,221",216,Isiolo,"268,002","25,350.60",11,Isiolo,"28,784","1,002",29,"6,437",290,22,"35,221",81.72397149,Isiolo,"35,221","1,292",27,9,Isiolo,1.01,0.98,0.97,0.99,11,Isiolo,41,69,0,110,0,100,37.27272727,9,Isiolo,116,95,81.9,9,Isiolo,"4,048",190,95,95,4,9,Isiolo,525.9,24.1,537.4,30.6,547,24.6,isiolo,51,Isiolo,Isiolo,11,Isiolo,isiolo,ISIOLO,ISIOLO,"245,462","1,483",0.6,37,"79,881",32.5,"34,817",14.2,"14,485",5.9,"114,759",46.8,209,ISIOLO,Male,"128,141",886,0.7,21,"40,960",32,"19,823",15.5,"7,599",5.9,"58,852",45.9,isiolo,isiolo,Isiolo,56.3,19.5,ISIOLO,Female,"117,317",597,0.5,16,"38,920",33.2,"14,994",12.8,"6,886",5.9,"55,904",47.7,81.72397149,42.82020283,5.404810412,"49,302",29.38014685,70.61985315,232.7674334,0.06485779623
18,Kajiado,"6,424.95","7,954.77",927.74,729.5,862.29,"1,605.36","8,214.97","10,289.63",10,Kajiado,792,"191,184",241,Kajiado,"1,117,840","21,871.10",51,Kajiado,"138,817","3,611",38,"52,367","2,821",19,"191,184",72.60910955,Kajiado,"191,184","6,432",30,10,Kajiado,0.98,0.99,0.99,0.99,34,Kajiado,257,249,16,522,3.0651341,96.9348659,49.23371648,10,Kajiado,395,394,99.75,10,Kajiado,"15,956",788,394,394,,10,Kajiado,489.9,3.7,465.5,10.9,519.4,19,kajiado,474,Kajiado,Kajiado,34,,,KAJIADO,KAJIADO,"1,016,058","13,146",1.3,327,"389,090",38.3,"319,689",31.5,"111,477",11,"182,329",17.9,806,KAJIADO,Male,"504,023","7,321",1.5,139,"195,925",38.9,"164,069",32.6,"54,115",10.7,"82,454",16.4,kajiado,kajiado,Kajiado,44.4,25.8,KAJIADO,Female,"512,004","5,824",1.1,188,"193,153",37.7,"155,610",30.4,"57,359",11.2,"99,870",19.5,72.60910955,16.3108316,9.97253632,"431,166",25.85477519,74.14522481,42.28742526,0.06453329469
19,Kakamega,"10,412.85","12,389.41","1,499.98",844.39,"1,118.24","2,113.00","13,031.06","15,346.80",11,Kakamega,"1,120","555,021",496,Kakamega,"1,867,579","3,020.00",618,Kakamega,"519,857","10,664",49,"35,164","1,825",19,"555,021",93.66438387,Kakamega,"555,021","12,489",44,11,Kakamega,0.97,0.98,0.99,0.98,37,Kakamega,887,9,13,909,1.430143014,98.56985699,97.57975798,11,Kakamega,880,879,99.89,11,Kakamega,"66,404","1,760",880,880,93,11,Kakamega,469,18.1,485.1,20.9,503,13.8,kakamega,486,Kakamega,Kakamega,37,,,KAKAMEGA,KAKAMEGA,"1,732,145","11,722",0.7,382,"853,031",49.2,"334,397",19.3,"352,269",20.3,"180,344",10.4,866,KAKAMEGA,Male,"828,945","6,139",0.7,170,"428,344",51.7,"162,596",19.6,"157,153",19,"74,543",9,kakamega,kakamega,Kakamega,63.2,35,KAKAMEGA,Female,"903,166","5,583",0.6,212,"424,667",47,"171,796",19,"195,111",21.6,"105,797",11.7,93.66438387,9.656566068,18.86233461,"686,666",51.30136049,48.69863951,26.26371482,0.5521461093
20,Kericho,"5,380.50","6,430.66",780.03,722.35,595.98,494.05,"6,756.51","7,647.07",12,Kericho,827,"222,619",269,Kericho,"901,777","2,436.10",370,Kericho,"178,579","5,494",33,"44,040","2,154",20,"222,619",80.21732197,Kericho,"222,619","7,648",29,12,Kericho,0.96,0.97,0.97,0.97,35,Kericho,497,1,0,498,0,100,99.79919679,12,Kericho,503,502,99.8,12,Kericho,"23,783","1,004",502,502,66,12,Kericho,457.1,16.4,449.4,20.1,449.5,14.5,kericho,481,Kericho,Kericho,35,,,KERICHO,KERICHO,"834,061","4,236",0.5,219,"387,109",46.4,"201,479",24.2,"172,473",20.7,"68,545",8.2,827,KERICHO,Male,"415,734","2,323",0.6,110,"197,586",47.5,"105,284",25.3,"80,978",19.5,"29,453",7.1,kericho,kericho,Kericho,31.8,33.7,KERICHO,Female,"418,300","1,913",0.5,109,"189,513",45.3,"96,187",23,"91,489",21.9,"39,089",9.3,80.21732197,7.601103155,19.12590363,"373,952",46.12169476,53.87830524,18.32989261,0.4476087143
21,Kiambu,"9,431.70","11,717.53","1,418.16",742.54,"2,425.25","3,883.30","13,275.10","16,343.37",13,Kiambu,899,"347,510",387,Kiambu,"2,417,735","2,538.60",952,Kiambu,"227,580","6,129",37,"119,930","4,227",28,"347,510",65.48876291,Kiambu,"347,510","10,356",34,13,Kiambu,0.94,0.98,0.96,0.96,22,Kiambu,461,0,1,462,0.2164502165,99.78354978,99.78354978,13,Kiambu,481,481,100,13,Kiambu,"23,732",962,481,481,50,13,Kiambu,554.4,39.2,594.7,26,562,20,kiambu,87,Kiambu,Kiambu,22,Kiambu,kiambu,KIAMBU,KIAMBU,"2,231,514","13,057",0.6,522,"778,586",34.9,"1,013,910",45.4,"326,845",14.6,"98,594",4.4,533,KIAMBU,Male,"1,092,380","7,274",0.7,262,"388,770",35.6,"504,910",46.2,"151,002",13.8,"40,162",3.7,kiambu,kiambu,Kiambu,26.6,25.9,KIAMBU,Female,"1,139,012","5,783",0.5,260,"389,788",34.2,"508,948",44.7,"175,810",15.4,"58,423",5.1,65.48876291,4.077948989,13.51864452,"1,340,755",24.37768272,75.62231728,7.353617924,1.059387221
